#OTU ID	SZ.SC4	SZ.SC7	SZ.SC5	SZ.SC2	SZ.SC1	SZ.SC6
533246	0	0	2	0	0	0
533624	0	0	0	1	1	0
537894	0	0	0	1	0	1
540405	1	0	0	1	0	0
540940	0	0	0	1	0	1
544480	0	0	0	0	0	2
545371	0	0	0	0	2	0
548754	2	0	0	0	0	0
550037	0	1	0	1	0	0
550674	0	0	0	2	0	0
553768	0	2	0	0	0	0
557138	0	0	0	0	0	2
557381	1	0	0	1	0	0
558420	0	1	0	0	1	0
558264	0	0	2	0	0	0
561935	0	0	1	1	0	0
564320	0	0	0	2	0	0
566203	0	0	0	2	0	0
578085	0	0	0	2	0	0
579577	0	0	0	2	0	0
579561	0	2	0	0	0	0
579608	0	0	1	1	0	0
581042	0	0	0	0	0	2
581287	0	0	0	0	2	0
582101	0	2	0	0	0	0
583584	1	0	0	0	1	0
584309	0	0	0	0	2	0
585131	0	0	2	0	0	0
586350	0	0	2	0	0	0
586893	0	0	0	0	2	0
591424	0	0	2	0	0	0
594330	0	1	1	0	0	0
609533	0	0	0	2	0	0
614814	0	0	0	0	0	2
617566	0	0	0	0	2	0
618222	0	0	0	2	0	0
644244	0	1	0	1	0	0
654788	0	0	0	0	0	2
703741	0	0	0	0	2	0
706656	0	0	2	0	0	0
739826	0	2	0	0	0	0
752354	2	0	0	0	0	0
758280	0	0	0	2	0	0
778142	0	1	1	0	0	0
780650	0	1	0	1	0	0
791522	0	0	2	0	0	0
805498	0	0	2	0	0	0
816299	0	0	0	0	2	0
818516	0	1	0	1	0	0
818777	0	0	0	2	0	0
822271	0	0	0	2	0	0
821644	0	0	0	0	0	2
824567	2	0	0	0	0	0
824302	0	0	0	0	0	2
839964	2	0	0	0	0	0
842193	0	0	2	0	0	0
844940	0	0	1	1	0	0
851794	0	0	0	1	1	0
870421	1	0	0	0	0	1
9727	0	0	2	0	0	0
99264	0	0	2	0	0	0
101202	0	0	0	1	0	2
105173	0	2	0	1	0	0
107379	0	3	0	0	0	0
1085646	3	0	0	0	0	0
110192	0	2	0	1	0	0
1117187	1	0	1	1	0	0
1129180	0	0	2	1	0	0
1142554	0	2	0	0	1	0
133750	0	3	0	0	0	0
149335	0	0	0	0	3	0
150477	0	1	1	0	1	0
158183	0	1	0	1	1	0
164822	0	0	2	0	0	1
16766	1	0	0	2	0	0
1726418	0	1	1	1	0	0
180442	2	1	0	0	0	0
186554	0	1	0	1	1	0
188966	0	0	0	1	2	0
189035	0	3	0	0	0	0
191043	0	3	0	0	0	0
195404	0	3	0	0	0	0
2074	0	2	0	1	0	0
209475	1	0	0	2	0	0
215231	0	3	0	0	0	0
2194872	0	0	2	0	0	1
220242	0	0	0	3	0	0
231108	0	0	0	0	3	0
23337	0	3	0	0	0	0
238484	0	0	1	0	0	2
2458172	0	0	1	0	0	2
259247	1	0	2	0	0	0
260703	0	2	0	0	1	0
262570	0	0	0	3	0	0
274438	0	1	0	0	2	0
274406	0	3	0	0	0	0
287826	0	0	2	0	1	0
290086	0	0	1	2	0	0
290679	3	0	0	0	0	0
291266	0	0	2	1	0	0
292242	1	0	0	0	0	2
294363	0	0	0	3	0	0
294302	0	1	2	0	0	0
2941399	0	0	0	3	0	0
295012	1	0	0	2	0	0
2978122	0	0	0	3	0	0
2992312	3	0	0	0	0	0
299770	1	0	1	1	0	0
299817	0	3	0	0	0	0
299882	0	0	0	0	3	0
3003844	0	1	0	2	0	0
3007575	0	0	0	0	3	0
302972	0	1	0	2	0	0
305177	0	2	0	1	0	0
306728	0	2	0	1	0	0
3130888	0	0	0	2	1	0
313089	0	0	0	3	0	0
316550	0	1	0	2	0	0
317515	0	2	0	1	0	0
318599	3	0	0	0	0	0
320859	0	3	0	0	0	0
323001	0	0	1	1	1	0
324894	0	0	2	1	0	0
324219	0	2	0	1	0	0
325419	0	1	0	1	0	1
327149	1	0	0	2	0	0
332860	0	0	3	0	0	0
333577	1	0	0	2	0	0
334797	0	0	0	3	0	0
334935	1	1	0	1	0	0
335550	0	0	0	3	0	0
336890	0	2	0	0	1	0
339293	0	2	0	1	0	0
339773	0	0	1	0	0	2
346393	0	0	0	3	0	0
346686	0	3	0	0	0	0
346657	0	0	0	3	0	0
347735	0	0	0	3	0	0
348085	0	0	0	3	0	0
349458	0	0	0	3	0	0
350910	0	0	2	1	0	0
35260	0	0	0	3	0	0
354854	1	0	0	2	0	0
355312	0	1	0	1	1	0
356089	0	1	0	1	1	0
357366	0	0	3	0	0	0
357529	0	3	0	0	0	0
360808	1	0	0	2	0	0
363400	0	0	0	3	0	0
366584	0	2	0	0	1	0
38888	0	0	3	0	0	0
3936862	0	0	3	0	0	0
408706	0	0	0	0	0	3
4353660	0	0	0	3	0	0
43707	1	0	0	2	0	0
4383092	0	0	3	0	0	0
4389066	0	0	0	3	0	0
4413917	0	0	0	3	0	0
44311	1	2	0	0	0	0
4438284	1	0	2	0	0	0
4444095	0	0	0	0	3	0
4449251	0	1	1	0	1	0
4452632	0	0	0	3	0	0
4454257	0	0	1	0	0	2
446403	2	0	0	0	1	0
4468809	0	0	0	3	0	0
4478501	0	0	0	3	0	0
4482839	0	1	0	0	0	2
512048	0	0	0	0	3	0
513440	0	0	0	3	0	0
519545	0	0	0	3	0	0
523749	0	0	0	3	0	0
528362	1	0	0	1	1	0
529531	0	0	0	3	0	0
536147	0	0	0	0	3	0
538279	1	2	0	0	0	0
542475	0	0	0	0	3	0
566899	1	0	0	0	2	0
571406	0	0	0	0	3	0
573068	0	0	0	0	3	0
575116	0	0	2	1	0	0
574762	0	0	0	2	1	0
587336	0	2	0	1	0	0
590663	0	0	3	0	0	0
590168	0	0	0	0	3	0
591399	1	0	0	0	2	0
593376	0	0	0	0	3	0
608244	0	0	0	3	0	0
660502	0	0	0	0	0	3
661669	0	0	0	0	3	0
686984	3	0	0	0	0	0
71751	0	0	0	0	0	3
73559	1	0	1	0	0	1
755631	1	0	0	0	2	0
754778	0	0	1	2	0	0
770499	0	3	0	0	0	0
808852	1	0	0	2	0	0
825661	0	0	0	3	0	0
837640	0	0	0	3	0	0
92043	0	0	1	0	2	0
960131	0	0	0	2	0	1
970028	0	0	0	0	0	3
1105211	1	1	0	2	0	0
1112762	0	0	0	4	0	0
1118166	0	0	0	4	0	0
1147718	0	0	1	0	0	3
148418	1	0	1	0	2	0
139640	0	0	1	0	0	3
155511	0	1	0	3	0	0
170244	0	1	0	3	0	0
170130	3	0	1	0	0	0
174496	2	0	1	1	0	0
177520	0	0	0	0	4	0
182911	0	0	0	1	3	0
179499	0	0	0	4	0	0
181927	1	2	1	0	0	0
182542	2	0	0	2	0	0
192795	0	0	0	0	0	4
192832	1	0	0	0	3	0
199534	0	0	2	2	0	0
195177	0	0	0	0	4	0
195871	3	0	1	0	0	0
196020	0	2	0	2	0	0
216710	0	2	0	2	0	0
207833	0	0	0	0	4	0
232273	0	2	0	2	0	0
274115	0	2	0	2	0	0
270676	1	0	0	3	0	0
271921	1	3	0	0	0	0
281310	0	0	0	0	4	0
284308	0	0	1	0	0	3
288556	0	0	0	4	0	0
288690	1	0	2	0	1	0
289384	0	1	0	3	0	0
291158	0	1	0	1	1	1
291493	2	1	1	0	0	0
291997	0	3	1	0	0	0
292041	2	0	0	1	1	0
292820	1	0	0	0	3	0
296082	0	1	1	2	0	0
296960	4	0	0	0	0	0
298453	4	0	0	0	0	0
299283	0	1	0	3	0	0
299382	0	1	1	1	1	0
300945	1	3	0	0	0	0
301270	0	0	0	0	4	0
301325	1	0	0	3	0	0
30569	0	0	0	1	3	0
304099	1	0	3	0	0	0
304580	0	0	0	3	1	0
305432	0	2	0	2	0	0
307204	1	0	0	2	1	0
307608	0	1	0	2	1	0
309720	0	2	0	0	2	0
308707	0	0	0	4	0	0
313396	1	0	0	1	2	0
316582	1	2	1	0	0	0
318373	0	4	0	0	0	0
321107	0	3	0	1	0	0
323862	1	1	2	0	0	0
324570	1	0	3	0	0	0
326662	0	0	0	4	0	0
328523	0	3	0	1	0	0
328238	0	0	4	0	0	0
329997	2	0	2	0	0	0
331435	1	0	2	0	1	0
334666	0	1	2	1	0	0
338781	0	2	2	0	0	0
339013	0	3	0	1	0	0
340688	0	1	2	0	1	0
340809	0	0	0	4	0	0
341953	3	0	1	0	0	0
342786	0	0	0	0	4	0
343483	0	0	0	4	0	0
352455	0	2	1	1	0	0
353322	1	1	0	1	0	1
353631	0	2	0	1	0	1
355785	0	0	4	0	0	0
367484	0	0	0	1	0	3
412145	0	0	0	0	0	4
4178726	1	3	0	0	0	0
4303850	0	0	0	4	0	0
4305062	1	1	0	0	2	0
4314092	0	0	0	0	4	0
4316539	0	0	2	0	0	2
4327501	0	0	0	0	0	4
4332078	1	0	2	1	0	0
4334053	0	0	1	0	0	3
4335781	3	0	0	1	0	0
4365109	1	1	1	0	1	0
4394992	0	4	0	0	0	0
4401961	0	0	0	2	0	2
4414692	0	0	4	0	0	0
4422388	0	0	3	0	0	1
4470612	0	0	0	3	0	1
463007	0	2	0	2	0	0
484304	1	0	0	1	1	1
509838	0	0	4	0	0	0
510554	3	1	0	0	0	0
510871	1	0	1	2	0	0
512962	0	0	0	1	3	0
521073	0	0	3	0	0	1
534204	0	1	2	1	0	0
540086	0	1	0	2	1	0
540856	0	3	0	1	0	0
542737	0	0	2	0	2	0
549499	0	4	0	0	0	0
554916	0	0	0	0	0	4
559410	0	0	0	0	4	0
559604	1	0	3	0	0	0
564586	0	0	2	0	0	2
565357	0	3	0	1	0	0
568276	0	0	0	4	0	0
568133	1	1	1	0	1	0
575756	0	0	0	4	0	0
576694	0	0	0	0	4	0
578533	0	2	0	2	0	0
580081	0	4	0	0	0	0
583046	0	2	2	0	0	0
584954	2	0	0	0	2	0
684656	0	0	0	2	2	0
623471	0	4	0	0	0	0
628014	3	0	1	0	0	0
684858	4	0	0	0	0	0
686789	0	0	0	1	0	3
697578	0	1	0	0	0	3
70706	1	0	0	0	2	1
758535	0	0	0	0	4	0
764292	0	1	0	3	0	0
772398	0	0	0	1	3	0
819081	0	0	0	3	1	0
828776	0	0	0	4	0	0
843808	2	2	0	0	0	0
85903	1	2	0	0	1	0
907096	0	0	4	0	0	0
983033	3	0	0	1	0	0
1105687	0	1	0	4	0	0
105028	0	0	0	3	2	0
10512	0	1	0	4	0	0
107854	0	0	0	2	3	0
1090059	0	0	0	0	0	5
1110065	0	0	2	0	0	3
1109709	1	1	0	2	0	1
1110378	0	0	0	0	5	0
1121111	0	0	0	0	0	5
1144747	0	0	0	0	0	5
133065	0	0	0	0	5	0
139278	0	0	5	0	0	0
1512104	0	0	3	0	0	2
158836	0	1	2	2	0	0
177070	0	3	0	1	1	0
180771	0	0	0	1	4	0
181437	3	2	0	0	0	0
207072	0	0	0	5	0	0
223059	0	0	0	2	3	0
228988	0	0	1	0	4	0
239924	0	0	2	0	0	3
239386	1	0	0	0	4	0
25947	0	0	0	0	5	0
261966	0	0	1	4	0	0
265414	0	0	0	5	0	0
2689396	5	0	0	0	0	0
273431	3	0	0	1	1	0
273388	0	5	0	0	0	0
275097	0	1	0	1	0	3
287984	0	0	2	0	0	3
291380	5	0	0	0	0	0
301406	2	0	0	0	3	0
304850	0	0	0	0	5	0
312863	0	0	1	2	0	2
313524	0	1	0	4	0	0
313601	0	1	0	4	0	0
318150	0	4	0	1	0	0
322803	0	0	5	0	0	0
328055	0	3	0	1	1	0
331526	0	0	0	5	0	0
333753	2	0	0	3	0	0
335492	3	0	2	0	0	0
338321	1	1	0	0	3	0
341460	1	2	0	0	0	2
347908	0	3	1	1	0	0
351659	0	3	1	0	1	0
3528445	0	3	0	1	1	0
355533	0	0	0	5	0	0
366623	1	2	1	0	0	1
3970651	0	0	0	5	0	0
4010840	0	2	3	0	0	0
4042947	0	2	0	3	0	0
4310675	0	1	0	2	2	0
4327415	0	0	0	0	5	0
4327882	0	0	0	5	0	0
4395096	0	1	1	3	0	0
4406819	0	4	0	1	0	0
4471279	0	0	0	1	4	0
4472965	0	2	0	3	0	0
4476773	0	4	0	1	0	0
463861	0	0	0	0	0	5
509433	0	4	0	0	1	0
522433	0	0	0	0	5	0
539506	0	0	0	5	0	0
542714	1	4	0	0	0	0
558033	0	0	1	3	0	1
558603	1	2	0	1	0	1
572254	0	4	0	1	0	0
573124	0	0	4	0	0	1
578649	0	3	1	1	0	0
584408	0	0	3	2	0	0
588045	0	3	1	0	1	0
624373	0	4	0	1	0	0
692823	0	0	0	1	4	0
705063	0	0	5	0	0	0
729700	0	0	1	0	0	4
777498	2	0	0	0	0	3
817550	0	0	0	0	0	5
906051	0	4	0	0	0	1
938794	0	0	2	1	0	2
940737	0	1	4	0	0	0
297949	0	6	0	0	0	0
1105668	0	2	0	4	0	0
1034564	0	0	0	0	0	6
1086805	0	0	0	0	0	6
129048	1	0	0	0	5	0
141145	3	0	3	0	0	0
142429	1	0	0	0	0	5
143873	0	6	0	0	0	0
145236	0	4	0	2	0	0
158925	0	0	6	0	0	0
174571	0	4	1	0	1	0
180107	1	4	0	0	1	0
187470	2	2	0	2	0	0
195934	1	1	1	2	1	0
2250985	4	0	1	1	0	0
230479	4	1	0	1	0	0
2360704	0	0	1	0	0	5
235024	0	0	5	0	0	1
236811	0	4	1	1	0	0
249748	0	0	0	4	0	2
289686	2	1	0	0	0	3
295748	0	1	2	0	3	0
297496	1	0	0	1	4	0
298858	0	6	0	0	0	0
303919	0	1	0	5	0	0
305268	0	1	0	5	0	0
322711	1	5	0	0	0	0
349036	0	4	0	1	1	0
346001	0	6	0	0	0	0
346350	4	0	2	0	0	0
346474	0	2	0	4	0	0
350400	0	0	0	1	5	0
354897	0	6	0	0	0	0
365033	3	0	0	2	1	0
4315782	3	0	0	1	2	0
43305	2	0	0	2	2	0
4376230	0	0	4	0	0	2
4456605	0	1	1	2	2	0
4438564	0	0	5	0	0	1
4467944	0	3	0	0	3	0
46567	4	0	0	2	0	0
531331	2	4	0	0	0	0
533886	0	0	3	0	0	3
537279	0	0	4	0	0	2
542096	0	2	0	4	0	0
545577	0	4	0	2	0	0
547304	0	0	4	0	0	2
553245	1	1	0	4	0	0
555419	0	5	0	1	0	0
566839	0	3	0	3	0	0
576319	0	0	0	6	0	0
577082	1	1	1	3	0	0
582123	0	2	0	0	4	0
584684	0	1	1	4	0	0
593672	1	0	1	4	0	0
614182	0	0	3	0	0	3
624542	1	0	0	0	5	0
668129	0	4	0	2	0	0
703440	0	0	3	3	0	0
716443	0	3	2	1	0	0
760913	0	0	3	0	0	3
806675	0	5	0	1	0	0
861807	0	0	0	0	1	5
947930	0	0	5	1	0	0
1026524	0	2	0	5	0	0
1067651	0	0	7	0	0	0
1078207	2	3	0	1	1	0
109977	0	0	0	0	0	7
1147571	0	1	2	0	0	4
15059	0	2	0	5	0	0
155884	0	0	0	7	0	0
1888072	1	0	1	0	0	5
188079	0	0	0	2	5	0
193654	0	1	0	6	0	0
202662	0	0	3	2	0	2
209511	0	0	4	0	0	3
22928	0	4	0	3	0	0
23625	0	0	5	0	2	0
2592837	0	0	7	0	0	0
276149	0	1	4	1	0	1
285497	0	0	0	0	0	7
293918	0	0	0	7	0	0
309565	3	4	0	0	0	0
309696	3	0	3	0	1	0
313423	0	0	0	0	7	0
325786	0	0	1	6	0	0
333341	1	2	1	3	0	0
335363	0	0	2	5	0	0
335488	0	5	0	1	1	0
336824	0	0	5	0	0	2
344422	0	0	1	6	0	0
347226	1	5	0	0	1	0
351472	4	0	0	3	0	0
377546	0	0	5	0	0	2
428116	0	0	0	0	7	0
4316930	3	0	0	0	0	4
4354477	6	0	0	1	0	0
4391463	1	1	1	4	0	0
4393208	1	3	1	2	0	0
4395984	0	0	5	0	0	2
4397200	0	0	0	0	7	0
4431803	0	0	0	0	7	0
4452400	0	0	0	7	0	0
514045	0	1	4	2	0	0
515552	0	0	0	7	0	0
557578	0	7	0	0	0	0
554745	0	0	0	0	0	7
568551	0	1	0	6	0	0
576833	0	7	0	0	0	0
583656	0	0	0	0	7	0
629291	0	0	6	0	0	1
646411	3	0	0	2	2	0
669005	3	1	2	0	1	0
687686	2	0	0	0	0	5
808380	2	0	0	0	5	0
851865	1	1	1	1	2	1
1106101	0	0	0	8	0	0
1034960	2	0	0	0	6	0
111028	0	3	2	2	1	0
17198	0	0	2	0	0	6
173297	0	0	4	0	0	4
176862	0	0	2	3	3	0
1852120	6	0	1	1	0	0
186452	0	0	0	8	0	0
199337	0	0	0	8	0	0
220622	0	0	0	0	8	0
266371	0	7	0	1	0	0
264269	0	0	8	0	0	0
266445	0	0	0	0	8	0
270826	0	0	6	0	0	2
294254	2	1	0	4	0	1
297111	1	0	0	5	2	0
312384	0	0	0	8	0	0
319455	0	5	0	3	0	0
3251419	0	8	0	0	0	0
336931	0	1	0	0	7	0
348536	0	2	4	2	0	0
354004	0	0	4	0	0	4
354158	1	7	0	0	0	0
366633	0	2	0	6	0	0
3825935	1	0	2	5	0	0
4290144	2	0	1	1	0	4
436550	0	0	2	0	0	6
512512	0	0	0	3	5	0
525391	0	3	1	4	0	0
534760	5	0	3	0	0	0
564948	0	5	1	2	0	0
564290	0	0	4	0	0	4
561290	0	0	0	8	0	0
580305	0	1	0	6	1	0
585881	0	1	1	6	0	0
594279	0	0	0	8	0	0
60346	4	2	0	0	0	2
64192	0	1	2	0	0	5
614083	0	0	0	0	0	8
699257	0	0	8	0	0	0
687940	4	4	0	0	0	0
716984	0	1	0	0	7	0
833795	1	4	0	3	0	0
100567	0	1	7	1	0	0
1047041	3	1	2	2	1	0
1107027	2	3	2	0	2	0
1119860	0	0	6	0	0	3
113430	0	3	0	6	0	0
162504	0	6	2	1	0	0
178117	0	0	0	8	1	0
1834768	0	0	9	0	0	0
1998479	0	4	0	2	0	3
255856	0	0	0	2	7	0
263180	0	9	0	0	0	0
264211	0	0	4	5	0	0
295504	0	1	0	0	0	8
306091	0	0	0	9	0	0
307536	0	1	0	2	6	0
333272	0	9	0	0	0	0
339035	0	4	5	0	0	0
340194	0	6	2	0	1	0
342159	0	3	0	6	0	0
356624	0	0	1	2	4	2
4304475	0	0	0	9	0	0
4411930	0	0	0	9	0	0
50208	0	0	0	9	0	0
510422	1	5	0	2	0	1
558531	1	0	2	4	2	0
577674	0	2	0	7	0	0
641783	0	3	0	6	0	0
746944	0	1	1	7	0	0
1069592	0	0	0	0	0	10
1104733	0	1	8	0	0	1
1107335	0	0	0	0	0	10
110829	1	0	3	4	2	0
1110135	2	3	5	0	0	0
147852	0	0	1	0	0	9
152485	2	3	2	2	1	0
186090	0	7	0	3	0	0
234912	0	0	0	10	0	0
259270	0	0	3	3	4	0
261634	3	0	0	0	7	0
289388	0	4	0	5	0	1
294782	3	0	2	0	0	5
296340	0	0	2	4	2	2
297792	0	6	0	4	0	0
302302	0	0	0	0	0	10
348641	1	2	2	4	1	0
352027	0	5	0	5	0	0
354849	3	1	2	4	0	0
39613	0	0	0	0	10	0
528013	0	2	0	0	8	0
534898	0	0	10	0	0	0
547817	0	3	0	1	0	6
564704	0	3	1	6	0	0
584405	7	0	1	2	0	0
762699	0	0	9	1	0	0
808244	0	8	2	0	0	0
841724	0	0	5	0	0	5
949789	0	8	0	2	0	0
99242	0	1	1	8	0	0
1067519	1	0	0	0	0	10
137385	0	3	3	5	0	0
146086	2	0	0	0	9	0
169738	0	4	1	3	2	1
250378	0	0	0	10	0	1
259677	0	0	10	0	1	0
262387	0	6	0	5	0	0
270511	0	11	0	0	0	0
288810	0	0	0	5	6	0
3265161	10	0	1	0	0	0
327704	1	1	0	6	3	0
345899	3	1	0	4	2	1
353459	1	2	0	3	5	0
355291	0	0	0	11	0	0
366451	0	0	5	0	0	6
4341023	0	0	2	0	0	9
4368600	0	0	7	0	0	4
4376828	0	0	0	11	0	0
4414821	7	0	0	3	0	1
4421336	0	0	3	1	0	7
580121	1	5	0	1	4	0
661270	0	11	0	0	0	0
743082	0	3	0	8	0	0
84779	0	0	0	11	0	0
995900	0	0	4	0	0	7
106334	2	0	1	8	0	1
112374	1	6	1	4	0	0
157532	0	0	1	0	0	11
1646259	2	0	0	1	9	0
165266	0	2	4	6	0	0
191978	0	0	1	2	9	0
215097	3	0	4	5	0	0
231310	4	0	0	0	8	0
225919	7	3	0	2	0	0
251456	0	9	0	3	0	0
319030	0	11	0	1	0	0
320354	0	4	0	8	0	0
322927	3	0	2	0	0	7
346243	0	0	0	10	2	0
352304	11	0	1	0	0	0
4315673	2	0	1	0	0	9
4316566	0	0	0	11	0	1
4325509	0	0	0	12	0	0
4383961	0	0	7	0	0	5
4416659	0	0	0	0	12	0
517583	0	12	0	0	0	0
541119	0	0	3	7	0	2
548161	1	4	0	6	1	0
590818	3	1	2	6	0	0
727218	0	0	2	1	0	9
919466	0	10	1	1	0	0
171048	0	0	6	0	0	7
180067	0	7	0	6	0	0
186521	0	13	0	0	0	0
192592	0	5	0	3	5	0
219549	0	0	11	0	0	2
264009	0	0	0	0	11	2
297878	0	13	0	0	0	0
320430	0	13	0	0	0	0
328905	0	6	0	7	0	0
326292	9	0	0	4	0	0
335032	0	13	0	0	0	0
344805	1	7	0	0	0	5
4397962	1	1	0	4	5	2
44151	0	4	0	9	0	0
541440	0	2	0	11	0	0
572351	0	0	13	0	0	0
587753	0	3	2	1	7	0
819267	2	3	7	1	0	0
842714	3	0	1	2	7	0
106019	0	0	5	0	0	9
1081222	0	0	4	0	0	10
108916	0	0	4	0	0	10
151675	5	1	8	0	0	0
